Fold,Accuracy,Precision,Recall,F1,TrainTime_s,PredTime_s
1,0.697594501718213,0.7144641261757,0.7208614341085271,0.6958911898419369,21.870203971862793,0.8885760307312012
2,0.6846846846846847,0.7078145650287895,0.669948717948718,0.6773001701636414,19.717848300933838,0.9226541519165039
3,0.5967567567567568,0.6267603084050453,0.6482005362168051,0.6287684879211529,18.829609632492065,0.9588494300842285
4,0.7090909090909091,0.7237616306091363,0.7021506523647677,0.6994667533722275,30.024627208709717,1.3022825717926025
5,0.7649572649572649,0.7889146930549453,0.7765899836043408,0.7791821930167279,19.25691056251526,0.9742660522460938
6,0.669501822600243,0.6794845500121605,0.6649392739777089,0.6655521609717783,20.58967137336731,0.890484094619751
7,0.6789976133651552,0.6984005253352383,0.67563794917624,0.6656930209564308,20.014744758605957,0.9317784309387207
8,0.7233250620347395,0.7331861274182883,0.7563117715617715,0.7338474619416901,22.36232352256775,0.8595438003540039
9,0.7316176470588235,0.746828116469335,0.7610972195210355,0.742421877851317,19.90984797477722,0.8673207759857178
10,0.7885304659498208,0.8080294675508937,0.8036474637553145,0.798645614004289,19.316399574279785,0.872154951095581
